ontology,cq_id,question,satisfied,classes_present,object_properties_present,datatype_properties_present
music,CQ1,What instruments does a certain person play?,True,True,True,True
music,CQ2,What are the members of a certain band at a certain point in time?,True,True,True,True
music,CQ3,What role does a certain person have in a certain band at a certain point in time?,True,True,True,True
music,CQ4,During what time period was a certain album recorded?,True,True,True,True
music,CQ5,How many tracks does a particular album contain?,True,True,True,True
music,CQ6,When was a certain album released?,True,True,True,True
music,CQ7,What song is a specific track a recording of?,False,True,False,True
music,CQ8,When was a certain song composed?,True,True,True,True
music,CQ9,What does a certain critic say about a certain record?,False,False,False,True
music,CQ10,When did a certain performance take place?,True,True,True,True
music,CQ11,What songs were played in a certain performance?,True,True,True,True
music,CQ12,Where did a certain performance take place?,True,True,True,True
music,CQ13,In what region is a certain city located?,True,True,True,True
music,CQ14,In what country is a certain region located?,False,False,False,True
music,CQ15,A record always contains at least one track.,True,True,True,True
hospital,CQ1,What medical degrees does a certain person have?,True,True,True,True
hospital,CQ2,During what time period did a certain person study for a specific degree?,False,False,False,True
hospital,CQ3,When was a certain person first employed at a certain hospital?,True,True,True,True
hospital,CQ4,In what city is a certain hospital located?,True,True,True,True
hospital,CQ5,In what country is a certain city located?,True,True,True,True
hospital,CQ6,Who are the members of a certain union at a certain point in time?,False,True,True,False
hospital,CQ7,What role does a certain person have within a certain union group at a certain point in time?,False,True,True,False
hospital,CQ8,What is the evaluation statement given by a certain doctor for a certain employee?,False,True,False,True
hospital,CQ9,What articles is a specific book or CD composed of?,True,True,True,True
hospital,CQ10,How many pages does a particular book contain?,False,True,False,False
hospital,CQ11,When was a certain book or CD published?,False,True,False,True
hospital,CQ12,When did a certain seminar take place?,True,True,True,True
hospital,CQ13,What articles were presented in a certain seminar?,True,True,True,True
hospital,CQ14,Where did a certain seminar take place?,True,True,True,True
hospital,CQ15,At least one article is always presented at each seminar.,True,True,True,True
